project,timestamp,ntasks,nchunks,nfound,seconds
mcs_prime_stoch_trigger,2026-06-16 21:54:23.426,12,1,12,0.013
mcs_prime_stoch_trigger,2026-06-16 21:54:23.439,24,1,24,0.012
mcs_prime_stoch_trigger,2026-06-16 21:54:23.449,36,1,36,0.009
mcs_prime_stoch_trigger,2026-06-16 21:54:23.455,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.464,84,1,84,0.008
mcs_prime_stoch_trigger,2026-06-16 21:54:23.474,72,1,72,0.009
mcs_prime_stoch_trigger,2026-06-16 21:54:23.483,13,1,13,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.490,13,1,13,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.496,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.503,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.514,72,1,72,0.010
mcs_prime_stoch_trigger,2026-06-16 21:54:23.524,36,1,36,0.009
mcs_prime_stoch_trigger,2026-06-16 21:54:23.530,12,1,12,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:23.537,13,1,13,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.545,36,1,36,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.560,96,1,96,0.014
mcs_prime_stoch_trigger,2026-06-16 21:54:23.571,10,1,10,0.009
mcs_prime_stoch_trigger,2026-06-16 21:54:23.589,60,1,60,0.016
mcs_prime_stoch_trigger,2026-06-16 21:54:23.604,5,1,5,0.013
mcs_prime_stoch_trigger,2026-06-16 21:54:23.614,12,1,12,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.622,24,1,24,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.628,36,1,36,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.634,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.643,84,1,84,0.009
mcs_prime_stoch_trigger,2026-06-16 21:54:23.653,72,1,72,0.010
mcs_prime_stoch_trigger,2026-06-16 21:54:23.660,13,1,13,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.666,13,1,13,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.672,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.679,12,1,12,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:23.687,72,1,72,0.008
mcs_prime_stoch_trigger,2026-06-16 21:54:23.696,36,1,36,0.009
mcs_prime_stoch_trigger,2026-06-16 21:54:23.702,12,1,12,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.708,13,1,13,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:23.718,36,1,36,0.010
mcs_prime_stoch_trigger,2026-06-16 21:54:23.732,96,1,96,0.014
mcs_prime_stoch_trigger,2026-06-16 21:54:23.742,10,1,10,0.011
mcs_prime_stoch_trigger,2026-06-16 21:54:23.757,60,1,60,0.015
mcs_prime_stoch_trigger,2026-06-16 21:54:23.768,5,1,5,0.011
mcs_prime_stoch_trigger,2026-06-16 21:54:50.744,12,1,12,0.010
mcs_prime_stoch_trigger,2026-06-16 21:54:50.755,24,1,24,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:50.771,36,1,36,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:50.790,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:50.801,84,1,84,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:50.851,72,1,72,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:50.920,13,1,13,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:50.948,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:50.964,12,1,12,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:50.977,12,1,12,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:50.991,72,1,72,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.070,36,1,36,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.089,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.101,13,1,13,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:51.112,36,1,36,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:51.137,96,1,96,0.011
mcs_prime_stoch_trigger,2026-06-16 21:54:51.180,10,1,10,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.198,60,1,60,0.011
mcs_prime_stoch_trigger,2026-06-16 21:54:51.231,5,1,5,0.008
mcs_prime_stoch_trigger,2026-06-16 21:54:51.241,12,1,12,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:51.245,24,1,24,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:51.249,36,1,36,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:51.253,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.258,84,1,84,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.265,72,1,72,0.007
mcs_prime_stoch_trigger,2026-06-16 21:54:51.269,13,1,13,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:51.273,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.277,12,1,12,0.004
mcs_prime_stoch_trigger,2026-06-16 21:54:51.280,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.286,72,1,72,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.291,36,1,36,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:51.295,12,1,12,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.298,13,1,13,0.003
mcs_prime_stoch_trigger,2026-06-16 21:54:51.303,36,1,36,0.005
mcs_prime_stoch_trigger,2026-06-16 21:54:51.312,96,1,96,0.008
mcs_prime_stoch_trigger,2026-06-16 21:54:51.317,10,1,10,0.006
mcs_prime_stoch_trigger,2026-06-16 21:54:51.327,60,1,60,0.010
mcs_prime_stoch_trigger,2026-06-16 21:54:51.335,5,1,5,0.007
mcs_prime_stoch_trigger,2026-06-17 09:54:22.672,1,1,1,0.021
mcs_prime_stoch_trigger,2026-06-17 09:54:22.735,36,1,36,0.040
