project,timestamp,nrunnable,ndeferred,seconds
mcs_prime_stoch_trigger,2026-06-16 21:54:23.607,0,0,0.194
mcs_prime_stoch_trigger,2026-06-16 21:54:51.236,0,0,0.502
mcs_prime_stoch_trigger,2026-06-17 09:54:22.788,0,0,0.138
mcs_prime_stoch_trigger,2026-06-17 10:35:17.506,0,0,0.084
mcs_prime_stoch_trigger,2026-06-17 10:35:31.371,0,0,0.130
mcs_prime_stoch_trigger,2026-06-18 14:02:49.709,48,0,0.016
mcs_prime_stoch_trigger,2026-06-18 14:04:34.564,1,0,0.008
mcs_prime_stoch_trigger,2026-06-18 14:05:44.898,48,0,0.013
mcs_prime_stoch_trigger,2026-06-18 14:06:03.462,1,0,0.005
mcs_prime_stoch_trigger,2026-06-18 14:06:37.144,1,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:09:08.117,1,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:09:51.102,0,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:10:07.658,3,0,0.010
mcs_prime_stoch_trigger,2026-06-18 14:14:20.103,1,0,0.008
mcs_prime_stoch_trigger,2026-06-18 14:14:45.399,1,0,0.010
mcs_prime_stoch_trigger,2026-06-18 14:14:57.917,1,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:14:57.921,1,0,0.004
mcs_prime_stoch_trigger,2026-06-18 14:20:15.772,45,0,0.025
mcs_prime_stoch_trigger,2026-06-18 14:20:42.254,1,0,0.005
mcs_prime_stoch_trigger,2026-06-18 14:22:34.843,45,0,0.048
mcs_prime_stoch_trigger,2026-06-18 14:22:37.763,1,0,0.014
mcs_prime_stoch_trigger,2026-06-18 14:22:37.771,1,0,0.008
mcs_prime_stoch_trigger,2026-06-18 14:22:57.330,1,0,0.005
mcs_prime_stoch_trigger,2026-06-18 14:23:00.537,45,0,0.035
mcs_prime_stoch_trigger,2026-06-18 14:23:26.827,1,0,0.009
mcs_prime_stoch_trigger,2026-06-18 14:23:37.314,0,0,0.005
mcs_prime_stoch_trigger,2026-06-18 14:26:42.462,0,0,0.009
mcs_prime_stoch_trigger,2026-06-18 14:27:30.299,0,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:28:05.695,0,0,0.008
mcs_prime_stoch_trigger,2026-06-18 14:28:47.931,0,0,0.026
mcs_prime_stoch_trigger,2026-06-18 14:28:57.218,0,0,0.030
mcs_prime_stoch_trigger,2026-06-18 14:31:01.764,0,0,0.030
mcs_prime_stoch_trigger,2026-06-18 14:31:14.044,0,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:36:26.015,0,0,0.015
mcs_prime_stoch_trigger,2026-06-18 14:36:35.264,0,0,0.007
mcs_prime_stoch_trigger,2026-06-18 14:37:36.734,0,0,0.007
mcs_prime_stoch_trigger,2026-06-18 14:37:48.507,0,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:39:13.831,0,0,0.015
mcs_prime_stoch_trigger,2026-06-18 14:39:23.019,0,0,0.006
mcs_prime_stoch_trigger,2026-06-18 14:40:14.421,45,0,0.021
mcs_prime_stoch_trigger,2026-06-18 14:40:36.335,1,0,0.030
mcs_prime_stoch_trigger,2026-06-18 14:40:47.772,0,0,0.007
mcs_prime_stoch_trigger,2026-06-18 14:43:55.407,45,0,0.022
mcs_prime_stoch_trigger,2026-06-18 14:48:38.432,45,0,0.043
mcs_prime_stoch_trigger,2026-06-18 14:53:51.333,0,0,0.016
mcs_prime_stoch_trigger,2026-06-18 15:46:36.068,192,0,0.094
mcs_prime_stoch_trigger,2026-06-18 15:46:52.737,192,0,0.018
mcs_prime_stoch_trigger,2026-06-18 15:47:47.596,192,0,0.033
mcs_prime_stoch_trigger,2026-06-18 15:52:36.216,0,0,0.014
mcs_prime_stoch_trigger,2026-06-18 16:03:27.215,192,0,0.021
mcs_prime_stoch_trigger,2026-06-18 16:03:52.420,192,0,0.019
mcs_prime_stoch_trigger,2026-06-18 16:05:59.042,192,0,0.017
mcs_prime_stoch_trigger,2026-06-18 16:12:25.227,0,0,0.010
mcs_prime_stoch_trigger,2026-06-18 16:12:33.068,0,0,0.026
mcs_prime_stoch_trigger,2026-06-18 16:28:19.845,192,0,0.027
mcs_prime_stoch_trigger,2026-06-18 16:29:44.844,192,0,0.028
mcs_prime_stoch_trigger,2026-06-18 16:30:34.730,16,0,0.015
mcs_prime_stoch_trigger,2026-06-18 16:32:16.144,0,0,0.007
wescon-tools,2026-06-30 15:59:35.977,1566,6,0.079
wescon-tools,2026-06-30 16:00:27.276,1566,6,0.101
wescon-tools,2026-06-30 16:01:06.555,1566,6,0.108
wescon-tools,2026-06-30 16:01:08.107,1566,6,0.077
wescon-tools,2026-06-30 16:01:36.086,1566,6,0.035
wescon-tools,2026-06-30 16:08:09.212,0,0,10.190
wescon-tools,2026-06-30 16:08:35.694,0,0,4.877
wescon-tools,2026-06-30 16:11:07.341,0,0,6.642
wescon-tools,2026-06-30 16:19:36.151,0,0,20.029
wescon-tools,2026-06-30 16:30:27.377,18,0,10.823
wescon-tools,2026-06-30 16:54:38.367,272,0,13.277
wescon-tools,2026-06-30 17:00:18.215,66,0,11.694
wescon-tools,2026-06-30 17:15:36.213,66,0,17.478
wescon-tools,2026-07-01 15:40:51.462,18,0,3.897
wescon-tools,2026-07-01 15:43:07.835,18,0,3.501
wescon-tools,2026-07-01 15:43:34.559,18,0,3.574
wescon-tools,2026-07-01 15:43:50.709,18,0,3.185
wescon-tools,2026-07-01 15:44:22.218,1,0,0.733
wescon-tools,2026-07-01 16:00:03.780,290,0,3.418
wescon-tools,2026-07-01 16:00:54.686,290,0,5.005
wescon-tools,2026-07-01 16:01:59.475,290,0,3.402
wescon-tools,2026-07-01 16:28:29.096,21,0,9.902
wescon-tools,2026-07-01 16:30:38.356,18,0,3.650
wescon-tools,2026-07-01 16:31:01.401,18,0,3.405
wescon-tools,2026-07-01 16:31:10.986,1,0,0.741
wescon-tools,2026-07-01 16:45:23.682,1,0,1.050
wescon-tools,2026-07-01 16:46:03.007,1,0,0.957
wescon-tools,2026-07-01 17:00:21.697,1,0,1.001
wescon-tools,2026-07-01 17:01:51.958,1,0,1.063
wescon-tools,2026-07-01 17:02:23.549,1,0,0.901
wescon-tools,2026-07-01 17:04:43.733,1,0,0.889
wescon-tools,2026-07-01 17:05:29.164,1,0,0.838
wescon-tools,2026-07-01 17:06:34.775,1,0,0.891
wescon-tools,2026-07-01 17:09:31.453,3,0,0.858
wescon-tools,2026-07-01 17:09:44.877,3,0,0.762
wescon-tools,2026-07-01 17:12:59.869,3,0,1.052
wescon-tools,2026-07-01 17:18:21.265,3,0,1.064
wescon-tools,2026-07-02 09:37:57.069,57,0,5.371
wescon-tools,2026-07-02 10:07:16.961,1,0,6.114
wescon-tools,2026-07-02 10:08:19.048,2,0,4.631
wescon-tools,2026-07-02 10:08:52.940,2,0,4.126
wescon-tools,2026-07-02 10:11:49.576,2,0,4.932
wescon-tools,2026-07-02 10:14:27.826,1,0,0.673
wescon-tools,2026-07-02 10:14:28.890,0,0,0.710
wescon-tools,2026-07-02 10:15:06.028,18,0,11.300
wescon-tools,2026-07-02 10:29:19.225,0,0,4.640
wescon-tools,2026-07-02 11:21:34.985,58,0,5.963
wescon-tools,2026-07-02 11:21:50.566,58,0,4.979
wescon-tools,2026-07-02 11:23:16.960,58,0,9.531
wescon-tools,2026-07-02 11:47:52.950,40,0,3.739
wescon-tools,2026-07-02 11:48:05.176,40,0,3.316
wescon-tools,2026-07-02 11:55:29.771,0,0,13.481
wescon-tools,2026-07-02 13:14:29.448,0,0,4.464
wescon-tools,2026-07-02 13:19:24.356,1465,8,3.925
wescon-tools,2026-07-02 13:21:37.625,1465,8,4.179
wescon-tools,2026-07-02 13:31:45.355,141,8,1.156
wescon-tools,2026-07-02 13:58:17.641,1324,8,4.283
wescon-tools,2026-07-02 14:00:13.538,17,0,1.139
wescon-tools,2026-07-02 14:35:54.412,2,0,0.933
wescon-tools,2026-07-02 14:39:29.966,2,0,0.916
wescon-tools,2026-07-02 14:43:12.597,0,0,0.982
wescon-tools,2026-07-02 14:44:05.624,0,0,0.863
wescon-tools,2026-07-02 14:45:23.733,1086,8,3.250
wescon-tools,2026-07-02 14:50:45.878,1086,8,4.105
wescon-tools,2026-07-02 15:35:33.508,166,8,3.245
wescon-tools,2026-07-02 15:42:30.952,24,8,3.627
wescon-tools,2026-07-02 15:46:26.154,6,8,3.906
wescon-tools,2026-07-02 15:46:41.560,5,8,3.423
wescon-tools,2026-07-02 15:49:40.337,2,8,3.751
wescon-tools,2026-07-02 16:00:17.730,310,0,4.569
wescon-tools,2026-07-02 16:11:32.256,75,0,3.829
wescon-tools,2026-07-02 16:20:50.936,47,0,4.219
mcs_prime,2026-06-24 15:20:19.700,13,0,0.008
hk26_tracking,2026-06-19 14:14:18.307,45,0,0.010
hk26_tracking,2026-06-19 14:15:27.925,15,0,0.011
hk26_tracking,2026-06-19 14:16:33.863,15,0,0.010
hk26_tracking,2026-06-19 14:43:04.588,45,0,0.010
hk26_tracking,2026-06-22 10:40:33.460,45,0,0.010
hk26_tracking,2026-06-22 10:41:21.413,15,0,0.010
hk26_tracking,2026-06-22 10:41:49.164,15,0,0.011
hk26_tracking,2026-06-22 15:50:21.073,15,0,0.010
hk26_tracking,2026-06-22 20:47:59.349,15,0,0.011
hk26_tracking,2026-06-23 10:54:08.590,15,0,0.016
hk26_tracking,2026-06-23 15:53:57.381,15,0,0.017
hk26_tracking,2026-06-24 10:06:58.225,32,0,0.014
hk26_tracking,2026-06-24 10:08:15.745,32,0,0.016
hk26_tracking,2026-06-24 10:08:35.633,0,0,0.013
hk26_tracking,2026-06-24 10:09:05.070,32,0,0.014
hk26_tracking,2026-06-24 10:10:49.424,0,0,0.012
hk26_tracking,2026-06-24 10:10:54.722,0,0,0.071
hk26_tracking,2026-06-24 10:11:03.556,0,0,0.021
